	labial:+;coronal:-;strident:0;dorsal:-;round:-	labial:-;coronal:+;strident:-;dorsal:-;round:0	labial:-;coronal:+;strident:+;dorsal:-;round:0	labial:-;coronal:-;strident:0;dorsal:+;round:0	labial:-,+;coronal:-;strident:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:affricate|plosive	p	t	ts	k	kʷ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s			1/5	0.5278521239150965
	1/2	1/2	2/2	1/2	1/2
	0.7012860405677015	0.8979572119982655	1.0	0.7524606332852585	0.6200057528246669
