	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b		d	ɖ	ɟ	ɡ	5/6	0.9333290594086983
periodicGlottalSource:+;spreadGlottis:+	b̤		d̤	ɖ̤	ɟ̤	ɡ̤	5/6	0.8932454170698765
periodicGlottalSource:-;spreadGlottis:-	p	t̪	t	ʈ	c	k	6/6	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ		tʰ	ʈʰ	cʰ	kʰ	5/6	0.9330870514320584
	4/4	1/4	4/4	4/4	4/4	4/4
	1.0	0.5601297442338935	1.0	1.0	1.0	1.0
