	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+			ʐ	1/3	0.12360824612603441
periodicGlottalSource:-	s	ʃ	ʂ	3/3	1.0
	1/2	1/2	2/2
	0.7941949965540165	0.7783204924998441	1.0
