	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:0	labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:0	count	markedness_count
periodicGlottalSource:+	z	ʒ	ʑ	ɣ	ʁ	5/5	1.0
periodicGlottalSource:-	s	ʃ	ɕ	x		4/5	0.9220756871074133
	2/2	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	1.0	0.3041316844647587
