	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-	p	t	c	k	q	5/5	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-	b	d	ɟ	ɡ		4/5	0.9811053554896373
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-	mb	nd	ɲɟ	ŋɡ	ɴɢ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-	pʰ	tʰ	cʰ	kʰ	qʰ	5/5	1.0
	4/4	4/4	4/4	4/4	3/4
	1.0	1.0	1.0	1.0	0.8798602241715883
