	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	labial:-;coronal:+;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;high:+;front:+;back:- | labial:-;coronal:+;strident:-,-,+;anterior:+;distributed:-,-,+;dorsal:-,-,+;high:+;front:+;back:- | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	p	t	ts	ʈʂ	c	k	q	tɕ	8/8	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	b	d	dz	ɖʐ	ɟ	ɡ		dʑ	7/8	0.9837165956164603
periodicGlottalSource:+;category:fricative			z			ɣ	ʁ	ʑ	4/8	0.5914464779751424
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-;category:affricate	pʰ	tʰ	tsʰ	ʈʂʰ	cʰ	kʰ	qʰ	tɕʰ	8/8	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-,-;nasal:+,-,-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-,-;nasal:+,-,-;category:affricate	mb	nd	ndz	ɳɖʐ	ɲɟ	ŋɡ	ɴɢ	ndʑ	8/8	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s	ʂ		x	χ	ɕ	5/8	0.7009026813257633
	4/6	4/6	6/6	5/6	4/6	6/6	5/6	6/6
	0.7730307018256503	0.9013742500158113	1.0	0.8843664204213286	0.9161152747914569	1.0	0.9280385938004329	1.0
