	labial:+;coronal:-;anterior:0;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:+;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:-;dorsal:-;high:0;back:0	labial:-;coronal:-;anterior:0;dorsal:+;high:+;back:-	labial:-;coronal:-;anterior:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɖ	ɡ		4/5	0.9830710196295341
periodicGlottalSource:-;spreadGlottis:-	p	t	ʈ	k	q	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ	ʈʰ	kʰ		4/5	0.9184306815936126
	3/3	3/3	3/3	3/3	1/3
	1.0	1.0	1.0	1.0	0.6779630389089164
