	d̠ʒ	ɖʐ	2/3	0.6877360961912719
ts	t̠ʃ	ʈʂ	3/3	1.0
tsʰ	t̠ʃʰ	ʈʂʰ	3/3	1.0
2/3	3/3	3/3
0.8400420301507231	1.0	1.0
