	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-		d̠ʒ	ɖʐ	2/3	0.6877360961912719
periodicGlottalSource:-;spreadGlottis:-	ts	t̠ʃ	ʈʂ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+	tsʰ	t̠ʃʰ	ʈʂʰ	3/3	1.0
	2/3	3/3	3/3
	0.8400420301507231	1.0	1.0
