	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	β				1/4	0.29706446371054235
periodicGlottalSource:-		s	ç	x	3/4	0.7960298008587494
	1/2	1/2	1/2	1/2
	0.33747892892306774	0.7894718686030313	0.7388907479440601	0.6980646335439697
