	labial:+;labiodental:-;coronal:-;strident:0;dorsal:- | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;dorsal:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;anterior:+;distributed:+	labial:+;labiodental:-;coronal:-;strident:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;anterior:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;anterior:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;anterior:-;distributed:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:-;category:plosive	b	d	ɡb	ɡ	4/4	1.0
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+;category:plosive	ɓ		-		1/3	0.39267042972888067
periodicGlottalSource:-;spreadGlottis:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive			kp		1/4	0.007216939218657994
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-,+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	pʰ	tʰ		kʰ	3/4	0.9999621662635065
periodicGlottalSource:+;category:fricative	v	z	-	ɣ	3/3	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s	-		2/3	0.8727211838529629
	5/6	4/6	2/3	3/6
	0.5786501670233479	0.7156998465372122	0.9995394491542985	0.3731144547499974
