	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:-	b	d	ɡb	ɡ	4/4	1.0
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+	ɓ		-		1/3	0.39267042972888067
periodicGlottalSource:-;spreadGlottis:-;loweredLarynxImplosive:-			kp		1/4	0.007216939218657994
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-	pʰ	tʰ		kʰ	3/4	0.9999621662635065
	3/4	2/4	2/3	2/4
	0.45614694916950554	0.36812005436533013	0.9995394491542985	0.3906159084168588
