	labial:+;coronal:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	v	ʒ	2/2	1.0
periodicGlottalSource:+;spreadGlottis:+	v̤	ʒ̤	2/2	1.0
periodicGlottalSource:-;spreadGlottis:-	f	ʃ	2/2	1.0
	3/3	3/3
	1.0	1.0
