	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:-,+;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;strident:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;strident:-	count	markedness_count
fortis:+;category:plosive	p͈	t̪͈	t͈	ʈ͈	ȶ͈	k͈	6/6	1.0
fortis:-; ͉:+;category:plosive | fortis:-; ͉:-;category:plosive	p͉	t̪͉	t͉	ʈ͉	ȶ͉	k͉	6/6	1.0
	2/2	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0	1.0
