	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0 | labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β			1/3	0.34974051404148926
periodicGlottalSource:-	f	s	ʃ	3/3	1.0
	2/2	1/2	1/2
	1.0	0.7904973690479861	0.7783204924998441
