	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-,+ | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-,-,+	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+;round:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+;high:0;low:0;back:0 | labial:-,-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive	p	pʷ	pf	t	ts	t̠ʃ	pʲ	k	kʲ	kʷ	10/10	1.0
periodicGlottalSource:+;sonorant:-;nasal:-;category:affricate|plosive	b		bv	d	dz	d̠ʒ		ɡ	ɡʲ	ɡʷ	8/10	0.9962365536238943
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative			f		s			x		ʃʷ	4/10	0.6802274251111773
periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	β	βʷ	v		z						4/10	0.5274503296727242
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative	-	-	ɱv		nz						2/8	0.92907114586155
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb	mbʷ		nd				ŋɡ		ŋɡʷ	5/10	0.8170832496305128
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:affricate|plosive								ŋk		ŋkʷ	2/10	0.22726733518876632
	4/6	3/6	5/7	3/7	5/7	2/7	1/7	5/7	2/7	5/7
	0.9524712072127217	0.4191455700833792	0.9999242920466997	0.8914530081275049	0.9834119052643138	0.6266229770640455	0.40472231468091496	0.9458984764575173	0.8058857514397896	0.9406044699245653
