	labial:+;coronal:-;dorsal:-;high:0;back:0;round:-	labial:-;coronal:+;dorsal:-;high:0;back:0;round:0	labial:-;coronal:-;dorsal:+;high:+;back:-;round:0	labial:-,+;coronal:-;dorsal:+;high:+;back:-;round:+	labial:-;coronal:-;dorsal:+;high:-;back:+;round:0	labial:-,+;coronal:-;dorsal:+;high:-;back:+;round:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+		tʼ	kʼ	kʷʼ			3/6	0.6515646024294185
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b	d	ɡ	ɡʷ	ɢ	ɢʷ	6/6	1.0
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	k	kʷ			4/6	0.9495055788788375
	2/3	3/3	3/3	3/3	1/3	1/3
	0.9273775259163678	1.0	1.0	1.0	0.12189031682135729	0.07036904321655293
