Glottocode,Inventory
aari1239,1483
abar1238,1617
abau1245,1160
abid1235,649
abip1241,1914
abis1238,1923
abkh1244,2552
abua1244,1297
abuj1237,1701
abur1243,1521
acat1239,587
acha1249,2548
acha1250,1803
ache1245,1428
ache1246,2068
achi1257,1093
achu1247,199
achu1248,1946
acol1236,1433
adam1253,1253
adan1247,692
adan1251,1090
adio1239,650
adny1235,2931
adyg1241,2349
adze1240,200
afad1236,198
afar1241,1342
afit1238,1295
afri1274,1395
aghe1239,204
aghu1254,2880
agua1253,1947
ahan1243,1400
ahan1244,1544
aheu1239,1216
ahte1237,206
aika1237,2118
ainu1240,207
ajab1235,651
ajas1235,1250
ajyi1238,1807
akan1250,655
akas1242,1572
akaw1239,1873
akha1245,2608
akla1241,1095
akoo1248,656
akpe1248,1532
akun1241,2069
akur1238,1862
alab1237,210
alab1254,1451
alam1246,221
alaw1244,2681
aleu1260,213
alla1248,1529
alng1239,2908
alut1245,2412
alya1239,2702
amah1246,120
aman1265,1164
amar1271,2666
amar1274,1920
amas1236,504
ambe1247,1091
ambo1250,1684
ambu1247,1159
amdo1237,2534
amel1241,202
amha1245,2156
amii1238,2641
amoo1242,220
amun1246,2070
ande1247,2705
andi1255,2465
ando1255,2138
ando1256,1922
anei1239,1228
anfi1235,1661
anga1288,1703
anga1290,203
angg1238,2918
ango1258,1551
angu1242,2884
anii1245,1658
anin1240,2651
anta1253,2958
anti1245,1094
anua1242,1165
anuf1239,658
anyi1244,653
anyi1245,1242
aona1235,1704
apal1257,1863
apat1240,1705
apia1248,2071
apin1244,1953
apro1235,205
apuc1241,1702
apur1254,1092
arab1267,2761
arab1268,229
arag1245,2375
aran1237,1166
arao1248,2044
araw1273,2072
araw1276,1805
arbe1236,2438
arbo1245,1525
arch1244,228
argo1244,1396
arhu1242,1891
arik1265,1954
arin1244,1425
arit1239,2909
asha1243,288
ashe1272,1808
assa1263,2159
astu1245,2571
atam1239,2919
atay1247,2373
atti1239,1550
auuu1241,1169
avac1239,2075
avar1256,2467
avat1244,1296
avik1243,1358
avok1242,660
awab1243,2987
awac1239,1853
awad1243,1707
awar1248,1175
awet1244,2076
awin1248,1176
awiy1238,57
awng1244,1542
awtu1239,1177
axiy1235,2560
ayab1239,2898
ayac1239,2032
ayer1245,1545
ayer1246,2707
ayor1240,2137
baan1242,741
baat1238,669
baba1264,1178
baba1266,1179
bada1257,1708
bade1248,1437
badi1246,2768
bady1239,1329
bafa1247,926
bafa1249,1656
bafi1243,1258
bafu1246,662
baga1272,1199
baga1273,1060
bagi1246,1469
baim1244,2346
baka1272,1574
baka1273,1555
baka1274,1249
baka1277,1865
bakh1245,2249
bako1249,1180
bako1250,914
bala1302,1391
bali1278,1693
balt1258,2306
bamb1262,1349
bamb1265,1204
bamb1269,664
bame1260,934
bamu1253,1009
bamu1256,1182
bana1305,1248
band1337,2875
band1345,665
band1352,667
band1353,1685
bang1339,2935
bang1356,1183
bani1255,1075
bank1256,1522
baou1238,668
bara1380,2050
barb1263,862
bard1255,2697
bare1276,1813
bare1279,1612
bari1286,1185
bari1297,1892
barr1247,2892
baru1269,1039
basa1284,670
bash1264,237
basq1248,2161
basq1250,2381
bass1260,1559
bata1285,1184
bata1289,33
bata1293,1665
bats1242,242
baur1253,1843
bayu1240,2741
beem1239,144
befa1241,1186
begb1241,1530
beja1238,249
bekw1241,674
bela1255,1435
bela1256,1434
bela1260,1669
