b	d̪		ɡ	ɡʷ	4/5	0.9854836292566632
	t̪	kp	k		3/5	0.7108473185778387
1/2	2/2	1/2	2/2	1/2
0.3520981260077749	1.0	0.4682009940509083	1.0	0.17909622644246143
