b	d̪		ɡ	ɡʷ	ɟʝ	ɟʝʷ	6/7	0.9848730702359292
f	s	-			ʃ	ʃʷ	4/6	0.8203748990938978
	t̪	kp	k		cç	cçʷ	5/7	0.7367423493526828
2/3	3/3	1/2	2/3	1/3	3/3	3/3
0.45378497423808617	1.0	0.46810745807224835	0.8686670143906876	0.1373222513442789	1.0	1.0
