	labial:+;coronal:-;strident:0;distributed:0;dorsal:-;round:-	labial:-;coronal:+;strident:-;distributed:0;dorsal:-;round:0 | labial:-;coronal:+;strident:+;distributed:0;dorsal:-;round:0 | labial:-;coronal:+;strident:-,+;distributed:0;dorsal:-;round:0 | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;round:0;anterior:- | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;round:0;anterior:- | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;round:0;anterior:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;round:0;anterior:+ | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;round:0 | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;round:0	labial:-;coronal:-;strident:0;distributed:0;dorsal:+;round:0 | labial:-;coronal:+;strident:+;distributed:+;dorsal:+;round:0;anterior:+;front:+ | labial:-;coronal:+;strident:-;distributed:+;dorsal:+;round:0;anterior:-;front:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:-,+;round:0;anterior:-;high:+;low:-;front:+;back:-	labial:-,+;coronal:-;strident:0;distributed:0;dorsal:+;round:+ | labial:-,-,+;coronal:-;strident:0;distributed:0;dorsal:+;round:+ | labial:-,+;coronal:+;strident:-;distributed:+;dorsal:+;round:+;anterior:-;front:+ | labial:-,-,+;coronal:+;strident:-;distributed:+;dorsal:+;round:+;anterior:-;front:+ | labial:-,+;coronal:+;strident:+;distributed:+;dorsal:-;round:+;anterior:-;high:0;low:0;front:0;back:0 | labial:-,-,+;coronal:+;strident:+;distributed:+;dorsal:-;round:+;anterior:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:plosive	p	t̪|t	k	kʷ	4/4	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;sonorant:-;nasal:-;category:plosive	mb	n̪d̪|nd	ŋɡ	ŋɡʷ	4/4	1.0
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative		s̪|s			1/4	0.7206478827626402
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative | periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative		n̪z̪|nz			1/4	0.6050095064247474
	2/4	4/4	2/4	2/4
	0.7746049424807226	1.0	0.8166498833906118	0.7303480144463342
