	labial:+;coronal:-;distributed:0;dorsal:-;round:-	labial:-;coronal:+;distributed:0;dorsal:-;round:0	labial:-;coronal:-;distributed:0;dorsal:+;round:0	labial:-,+;coronal:-;distributed:0;dorsal:+;round:+ | labial:-,-,+;coronal:-;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t̪|t	k	kʷ	4/4	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	n̪d̪|nd	ŋɡ	ŋɡʷ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
