	labial:+;coronal:-;anterior:0;distributed:0;dorsal:- | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:- | labial:-;coronal:+;anterior:+;distributed:-,+;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;anterior:-;distributed:-;dorsal:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;strident:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;strident:-;front:+	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d̪	d	ɖ	ɡ	5/5	1.0
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪	t	ʈ	k	5/5	1.0
	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0
