	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d		2/3	0.6622669910337713
periodicGlottalSource:-;spreadGlottis:-		t		1/3	0.36810463504539304
periodicGlottalSource:-;spreadGlottis:+	pʰ		kʰ	2/3	0.674298064667662
	2/3	2/3	1/3
	0.4556547232547866	0.8990964713956104	0.12213373773480686
