	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;round:-,+ | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;round:-,-,+ | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-,+;round:-;front:- | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-,-,+;round:-;front:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;round:-,+ | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;round:-,-,+ | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,+;round:-;front:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,-,+;round:-;front:- | labial:+;labiodental:+,-;coronal:-;strident:0;dorsal:-;round:-,+	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0;anterior:+;distributed:+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;round:0;anterior:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;round:0;anterior:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;round:0;anterior:-;distributed:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	pʷ	p	t	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		f	s		2/4	0.8694629312682111
	1/2	2/2	2/2	1/2
	0.4493651630345879	1.0	1.0	0.7463088967653868
