	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;round:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-,+;labiodental:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;round:+;retractedTongueRoot:-	labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;round:+;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;round:0;retractedTongueRoot:-,+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;front:-;back:+;round:0;retractedTongueRoot:+	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;round:+;retractedTongueRoot:-	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;round:+;retractedTongueRoot:-,+	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;front:-;back:+;round:+;retractedTongueRoot:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-,+;low:-;front:-,+;back:+,-;round:0;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+	v	z	ʓ	ʒ	ʐ	ʓʷ	ʒʷ	ʁ			ʁʷ			ʁʲ	10/14	0.9760817255525968
periodicGlottalSource:-	f	s	ʆ	ʃ	ʂ	ʆʷ	ʃʷ	χ	χˤ	ħ	χʷ	χʷˤ	ħʷ	χʲ	14/14	1.0
	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	1/2	1/2	2/2	1/2	1/2	2/2
	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6111972103835723	0.7233606974850547	1.0	0.7599999999999999	0.6814693321780033	1.0
