	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;round:-;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;round:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:+;retractedTongueRoot:-	labial:-,+;labiodental:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;round:+;retractedTongueRoot:- | labial:-,-,+;labiodental:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;round:+;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-,+;back:-;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;round:0;retractedTongueRoot:-,+	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;round:+;retractedTongueRoot:-	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;round:+;retractedTongueRoot:-,+	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;front:-;back:+;round:+;retractedTongueRoot:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-,+;low:-;front:-,+;back:+,-;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-;back:-;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;front:-;back:+;round:0;retractedTongueRoot:+	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-;back:-;round:+;retractedTongueRoot:- | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;round:+;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	b	d	dz	d̠ʓ	d̠ʒ	ɖʐ	dʷ	d̠ʓʷ	ɡʲ					-	-	ɡ	ɡʷ	11/15	0.9844949089547703
periodicGlottalSource:+;category:fricative	v		z	ʓ	ʒ	ʐ		ʓʷ		ʁ		ʁʷ			ʁʲ		ʒʷ	10/17	0.7543376404780658
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive				t̠ʆ										-	-			1/15	0.0006509084338007718
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʆ	ʃ	ʂ		ʆʷ		χ	χˤ	χʷ	χʷˤ	ħʷ	χʲ	ħ	ʃʷ	14/17	0.8723588645729993
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate	pʰ	tʰ	tsʰ	t̠ʆʰ	t̠ʃʰ	ʈʂʰ	tʷʰ	t̠ʆʷʰ	kʲʰ					-	-	kʰ	kʷʰ	11/15	0.9313367849094211
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:affricate	pʼ	tʼ	tsʼ	-	t̠ʃʼ	ʈʂʼ	tʷʼ	t̠ʆʷʼ	kʲʼ	qʼ		qʷʼ		-	qʲʼ	kʼ	kʷʼ	13/15	0.9971116962953983
	5/6	3/6	5/6	5/5	5/6	5/6	3/6	5/6	3/6	3/6	1/6	3/6	1/6	1/2	3/3	4/6	5/6
	0.6322923521272297	0.4268674795507502	0.8276308965902186	1.0	0.6975511665650052	0.7855812071432754	0.796323963981555	0.8980306191298258	0.516789812656947	0.4875870554059922	0.27881821703549464	0.6580445933441446	0.4749999999999999	0.6814693321780033	1.0	0.5179033644407063	0.6041239852611247
