	labial:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;strident:-;anterior:-;distributed:+;high:0;low:0;front:0;back:0	labial:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	labial:-;strident:+;anterior:-;distributed:-;high:0;low:0;front:0;back:0	labial:-,-,+;strident:-;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	dz	d̠ʓ	d̠ʒ	ɖʐ	d̠ʓʷ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-		t̠ʆ				1/5	0.0032316248564763636
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:- | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-	tsʰ	t̠ʆʰ	t̠ʃʰ	ʈʂʰ	t̠ʆʷʰ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+ | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+	tsʼ	-	t̠ʃʼ	ʈʂʼ	t̠ʆʷʼ	4/4	1.0
	3/4	3/3	3/4	3/4	3/4
	0.5316205713041846	1.0	0.530829972203239	0.5523069705937651	0.8
