	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:+;dorsal:-	labial:-;coronal:+;distributed:-;dorsal:-	labial:+;coronal:-;distributed:0;dorsal:+	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t̪	t	kp	k	5/5	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	b	d̪	d	ɡb	ɡ	5/5	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	n̪d̪	nd	ŋmɡb	ŋɡ	5/5	1.0
	3/3	3/3	3/3	3/3	3/3
	1.0	1.0	1.0	1.0	1.0
