	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d̪	dz	ɖ	ɟʝ	ɡ	6/6	1.0
periodicGlottalSource:+;spreadGlottis:+;category:affricate|plosive	b̤	d̪̤	d̤z	ɖ̤	ɟ̤ʝ	ɡʱ	6/6	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f		s	ʂ	ç		4/6	0.7643856200854253
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t̪	ts	ʈ	cç	k	6/6	1.0
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	t̪ʰ	tsʰ	ʈʰ	cçʰ	kʰ	6/6	1.0
	5/5	4/5	5/5	5/5	5/5	4/5
	1.0	0.8153827108274095	1.0	1.0	1.0	0.8684968054529676
