	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-	b	d	ɡb	ɟ	ɡ	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+	ɓ		-			1/4	0.40662334864933586
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t	kp	c	k	5/5	1.0
	3/3	2/3	2/2	2/3	2/3
	1.0	0.9734318947077167	1.0	0.9483002079027533	0.9942958712195662
