	labiodental:0;coronal:+;strident:-;distributed:+;dorsal:-;front:0;round:0 | labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;front:0;round:0	labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-,+;front:+;round:0	labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;front:-;round:0	count	markedness_count
periodicGlottalSource:+	ð			1/3	0.7164543860569247
periodicGlottalSource:-	s	sʲ	x	3/3	1.0
	2/2	1/2	1/2
	1.0	0.7804642104690822	0.7037640130192439
