	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,+	count	markedness_count
periodicGlottalSource:+	β			βʲ	2/4	0.3550181386679407
periodicGlottalSource:-		s	ʃ		2/4	0.7763147249264652
	1/2	1/2	1/2	1/2
	0.33745490270910106	0.7904973690479861	0.7783204924998441	0.5367765330186429
