	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:+ | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;retractedTongueRoot:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-;front:0	count	markedness_count
periodicGlottalSource:+		ð̪	z	ð̪̙ˤ	ʕ̙	ɣ	5/6	0.7529171824501353
periodicGlottalSource:-	f	θ̪	s	s̙ˤ	ħ	ʃ	6/6	1.0
	1/2	2/2	2/2	2/2	2/2	2/2
	0.6630955642992665	1.0	1.0	1.0	1.0	1.0
