	labial:+;coronal:-;distributed:0;dorsal:-;high:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;distributed:+;dorsal:-;high:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;distributed:-;dorsal:-;high:0;back:0;retractedTongueRoot:+ | labial:-;coronal:+;distributed:+;dorsal:-;high:0;back:0;retractedTongueRoot:+ | labial:-;coronal:+;distributed:+;dorsal:-;high:0;back:0;retractedTongueRoot:+;strident:-	labial:-;coronal:-;distributed:0;dorsal:+;high:+;back:-;retractedTongueRoot:- | labial:-;coronal:-;distributed:0;dorsal:+;high:-;back:+;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d̪	d̙ˤ		3/4	0.5464566004023493
periodicGlottalSource:-;spreadGlottis:-			t̪̙ˤ	q	2/4	0.49820591677256354
periodicGlottalSource:-;spreadGlottis:+		t̪ʰ	-	kʰ	2/3	0.6499174110117479
	1/3	2/3	2/2	2/3
	0.3484744944872112	0.3556116241469188	1.0	0.7183366109484025
