	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:0;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:0;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:-,+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:+;front:+	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:+;category:plosive	ɓ	-	ɗ	ʄ	ɠ	4/4	1.0
periodicGlottalSource:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	p	-	t	c	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		ɬ	s̪			2/5	0.617229264531926
	2/3	1/1	3/3	2/3	2/3
	0.7833561182716275	1.0	1.0	0.7932694365296185	0.8297085089768994
