	tʼ	kʼ	2/3	0.7723084132353424
b	d	ɡ	3/3	1.0
p	t	k	3/3	1.0
pʰ	tʰ	kʰ	3/3	1.0
3/4	4/4	4/4
0.9261710778540825	1.0	1.0
