	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:+	ɓ	ɗ			2/4	0.8038629283657579
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t	c	k	4/4	1.0
	2/2	2/2	1/2	1/2
	1.0	1.0	0.9125191252432885	0.9923582237170805
