	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:- | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;dorsal:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;distributed:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-,+;distributed:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:plosive	b	d	ɖ	ɡb	ɡ	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;category:plosive	ɓ			-		1/4	0.3922256204908806
periodicGlottalSource:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	p	t		kp	k	4/5	0.94860152048703
periodicGlottalSource:+;category:fricative	v	z		-		2/4	0.7988814687795683
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s		-		2/4	0.848801208427415
	5/5	4/5	1/5	2/2	2/5
	1.0	0.9864101466507116	0.15976437955971762	1.0	0.8087814480436025
