name,glottocode
Erzya,erzy1239
Estonian_South,sout2679
Estonian_Standard,esto1258
Finnish_Standard,finn1318
Hungarian,hung1274
Ingrian,ingr1248
Karelian_Proper,kare1335
Khanty_Vakh_Vasyugan,fare1244
Komi_Permyak,komi1269
Komi_Zyrian,komi1268
Livonian_Courland,livv1244
Mansi_Sosva,mans1258
Mari_Hill,west2392
Mari_Meadow,east2328
Moksha,moks1248
Nenets_Tundra,nene1249
Nganasan,ngan1291
Saami_Inari,inar1241
Saami_Kildin,kild1236
Saami_North,nort2671
Saami_Pite,pite1240
Saami_Skolt,skol1241
Saami_South,sout2674
Saami_Ume,umes1235
Selkup_Northern,selk1253
Udmurt,udmu1245
Veps,veps1250
Votic_Western,voti1245
