	labial:+;coronal:-;strident:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:+;high:0;low:0;front:0;back:0 | labial:-;coronal:+;strident:-,+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	s	2/2	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	v	z	2/2	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	ɱv	nz	2/2	1.0
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-		ns	1/2	0.6452040443492012
	3/4	4/4
	0.9996099256453473	1.0
