	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;front:+	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+ | labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,-,+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;labiodental:0;coronal:+;strident:-,-,+;anterior:-,-,+;distributed:+;dorsal:+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	p	t	tɕ	kp	kʲ	-	k	6/6	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	b	d	dʑ	ɡb	ɡʲ	-	ɡ	6/6	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-;category:affricate|plosive	ɓ	ɗ	-	-	ʄ	-		3/4	0.9199464835173089
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative	f	s		-		-		2/5	0.801810117654554
periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	v			-		-		1/5	0.2720610496067276
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative	ɱv		-	-		-		1/4	0.518288389233408
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-,-;nasal:+,-,-;category:plosive | periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-,-;nasal:+,-,-;category:affricate	mb	nd		ŋmɡb	ŋɡʲ	ɲɟʑ	ŋɡ	6/7	0.9948524265854968
	7/7	5/7	2/5	3/3	4/7	1/1	3/7
	1.0	0.9373307633551382	0.6677670623945252	1.0	0.9065305771739338	1.0	0.8143813979732836
