	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-,+ | labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-,-,+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;strident:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-	p	t	kp	kʲ	k	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-	b	d	ɡb	ɡʲ	ɡ	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-	mb	nd	ŋmɡb	ŋɡʲ	ŋɡ	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-	ɓ	ɗ	-	ʄ		3/4	0.9282728285770497
	4/4	4/4	3/3	4/4	3/4
	1.0	1.0	1.0	1.0	0.9942271009636375
