	labiodental:0;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;round:0	labiodental:0;strident:-,-,+;anterior:-,-,+;distributed:+;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	tɕ	-	1/1	1.0
periodicGlottalSource:+;sonorant:+,-,-;nasal:+,-,-		ɲɟʑ	1/2	0.010957926971750409
periodicGlottalSource:+;sonorant:-;nasal:-	dʑ	-	1/1	1.0
	2/3	1/1
	0.9990266428824449	1.0
