	labiodental:0;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0 | labiodental:0;strident:-,+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	ts	t̠ʃ	2/2	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-		n̠d̠ʒ	1/2	0.6309688774855811
	1/2	2/2
	0.8188155348950458	1.0
