	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:+,-;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive	p	ts	t	t̠ʃ	k	5/5	1.0
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative		s	θ	ʃ	x	4/5	0.8170150578113853
periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	v	z	ð		ɣ	4/5	0.8706794234108091
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative	ɱv			ɲʒ		2/5	0.5054613644297296
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb		nd	n̠d̠ʒ	ŋɡ	4/5	0.9563865766804402
periodicGlottalSource:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:-;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:affricate	m̥p				ŋk	2/5	0.4862035155978532
	5/6	3/6	4/6	4/6	5/6
	0.8520311950168242	0.9194929716196002	0.9877073730501926	0.9140708130139548	0.9999315538210947
