b	d	ɟ	ɡ	4/4	1.0
	t	c	k	3/4	0.732627640258702
f	s			2/4	0.802392085064903
2/3	3/3	2/3	2/3
0.45527986708973356	1.0	0.8666613508683059	0.8671695102211161
