	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	b	d	ɟ	ɡ	4/4	1.0
periodicGlottalSource:-		t	c	k	3/4	0.732627640258702
	1/2	2/2	2/2	2/2
	0.35307331597901326	1.0	1.0	1.0
