	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;round:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:0	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:0	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	tʼ		kʼ		qʼ	4/6	0.8766819870210801
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b						1/6	0.3165855456596095
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	c	k	kʷ	q	6/6	1.0
	3/3	2/3	1/3	2/3	1/3	2/3
	1.0	0.7053210994288125	0.48532576444499886	0.7238502190321922	0.6147733700173796	0.8781096831786427
