	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+	b	d̪	ɡ		3/4	0.9817629823050338
periodicGlottalSource:-	p	t̪	k	q	4/4	1.0
	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	0.8714529730370428
