	labial:+;coronal:-;strident:0;dorsal:-	labial:-;coronal:+;strident:-;dorsal:-	labial:-;coronal:+;strident:+;dorsal:-	labial:-;coronal:-;strident:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	dz	ɡ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	ɸ		s		2/4	0.7307155530096854
periodicGlottalSource:-;category:affricate|plosive		t		k	2/4	0.6122573241550406
	2/3	2/3	2/3	2/3
	0.455124746620214	0.9486623782551034	0.5564294191609775	0.8703076603118558
