	labial:+;coronal:-;anterior:0;distributed:0;dorsal:- | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:- | labial:-;coronal:+;anterior:+;distributed:-,+;dorsal:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;strident:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;strident:+ | labial:-;coronal:+;anterior:+;distributed:0;dorsal:-;strident:+ | labial:-;coronal:+;anterior:+;distributed:0;dorsal:-;strident:+	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;anterior:-;distributed:-;dorsal:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;strident:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+ | labial:-;coronal:+;anterior:+;distributed:+;dorsal:+;strident:+;front:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;strident:-;front:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-,+;strident:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	mp	n̪t̪	nt	ɳʈ	ŋk	5/5	1.0
periodicGlottalSource:-;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:+;sonorant:-;nasal:-;spreadGlottis:-;loweredLarynxImplosive:+;category:plosive	p	t̪	t	ʈ	k	5/5	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative					ɣ	1/5	0.24403064611803282
	2/3	2/3	2/3	2/3	3/3
	0.8761122148127328	0.6758122226963538	0.8725850277171228	0.9097777186587144	1.0
