	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:-;coronal:+;dorsal:-,-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t	-	k	3/3	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd	ndʲ	ŋɡ	4/4	1.0
	2/2	2/2	1/1	2/2
	1.0	1.0	1.0	1.0
