	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-,-,+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:+,-;front:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive	p	ts	t	t̠ʃ	-	k	-	5/5	1.0
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative		s	θ	ʃ	-		-	3/5	0.6216214376212635
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative | periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	v	z	ð	ʒ	-	ɣ	ɲʒ	6/6	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb		nd	n̠d̠ʒ	ndʲ	ŋɡ	-	5/6	0.9564261483291906
	3/4	3/4	4/4	4/4	1/1	3/4	1/1
	0.8506161158324826	0.9295884114719304	1.0	1.0	1.0	0.8743618219758169	1.0
