	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:+,-;front:+ | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-		θ	s	ʃ		3/5	0.6034174361297658
periodicGlottalSource:+;sonorant:-;nasal:-	v	ð	z	ʒ	ɣ	5/5	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-				ɲʒ		1/5	0.009963180183472026
	1/3	2/3	2/3	3/3	1/3
	0.3341669449436727	0.9990959149836893	0.9983098069577927	1.0	0.29584866359539297
