	labial:+;coronal:-;strident:0;anterior:0;dorsal:-;round:-	labial:-;coronal:+;strident:-;anterior:+;dorsal:-;round:0 | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;round:0 | labial:-;coronal:+;strident:-,+;anterior:+;dorsal:-;round:0 | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;round:0;distributed:0 | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;round:0;distributed:- | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;round:0;distributed:+ | labial:-;coronal:+;strident:-;anterior:-;dorsal:-;round:0;lateral:-;distributed:-	labial:-,+;coronal:-;strident:0;anterior:0;dorsal:+;round:+ | labial:-,-,+;coronal:-;strident:0;anterior:0;dorsal:+;round:+ | labial:-,+;coronal:+;strident:-;anterior:-;dorsal:+;round:+;distributed:+;front:+ | labial:-,-,+;coronal:+;strident:-;anterior:-;dorsal:+;round:+;distributed:+;front:+ | labial:-,+;coronal:+;strident:+;anterior:-;dorsal:-;round:+;distributed:+;high:0;low:0;front:0;back:0 | labial:-,-,+;coronal:+;strident:+;anterior:-;dorsal:-;round:+;distributed:+;high:0;low:0;front:0;back:0	labial:-;coronal:-;strident:0;anterior:0;dorsal:+;round:0 | labial:-;coronal:+;strident:+;anterior:+;dorsal:+;round:0;distributed:+;front:+ | labial:-;coronal:+;strident:-;anterior:-;dorsal:+;round:0;distributed:+;front:+ | labial:-;coronal:+;strident:+;anterior:-;dorsal:-,+;round:0;distributed:+;high:+;low:-;front:+;back:- | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;round:0 | labial:-;coronal:+;strident:-,+;anterior:-;dorsal:-;round:0 | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;round:0;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+;category:plosive	b				1/4	0.3061041765160413
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪|t	kʷ	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s̪|s		ʃ	2/4	0.8581593496489829
	2/3	2/3	1/3	2/3
	0.8428091894130566	0.8160396776536364	0.6311478029109631	0.7977866431947562
