b				1/4	0.3061041765160413
p	t̪|t	kʷ	k	4/4	1.0
	s̪|s		ʃ	2/4	0.8581593496489829
2/3	2/3	1/3	2/3
0.8428091894130566	0.8160396776536364	0.6311478029109631	0.7977866431947562
