	labial:+;coronal:-;distributed:0;dorsal:-;round:-	labial:-;coronal:+;distributed:0;dorsal:-;round:0	labial:-;coronal:-;distributed:0;dorsal:+;round:0	labial:-,+;coronal:-;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	b				1/4	0.44620497948752597
periodicGlottalSource:-	p	t̪|t	k	kʷ	4/4	1.0
	2/2	1/2	1/2	1/2
	1.0	0.6775696423746886	0.7131090135848781	0.8209037735575385
