	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:-;category:affricate|plosive	b	d	d̠ʒ	ɡ	4/4	1.0
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+;category:affricate|plosive	ɓ	ɗ	-		2/3	0.8036323216451039
periodicGlottalSource:+;category:fricative	β				1/4	0.27338423696899294
periodicGlottalSource:-;spreadGlottis:-;loweredLarynxImplosive:-;category:affricate|plosive	p	t	t̠ʃ	k	4/4	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	ɸ	s	ʃ		3/4	0.8018677361309872
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-;category:affricate|plosive		tʰ		kʰ	2/4	0.6924216654870038
	5/6	5/6	3/5	3/6
	0.9169990181322186	0.9415839911148133	0.8412045509605242	0.8118515338427701
