	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+		tʼ			1/4	0.30478642525159216
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-		d	ɡ		2/4	0.6679429423060345
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	k	q	4/4	1.0
	1/3	3/3	2/3	1/3
	0.5782401402125597	1.0	0.9053801746031275	0.6313655068445534
