	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+		z		ɣ	2/4	0.5932470146883699
periodicGlottalSource:-	f	s	ʃ	x	4/4	1.0
	1/2	2/2	1/2	2/2
	0.6625210710769323	1.0	0.7783204924998441	1.0
