	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-,+;front:+	labial:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;lateral:-;strident:0;anterior:-;distributed:+;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+			z	ʒ			-	2/6	0.5601300531610038
periodicGlottalSource:-	f	ɬ	s	ʃ	ɬʲ	ç	x̠	7/7	1.0
	1/2	1/2	2/2	2/2	1/2	1/2	1/1
	0.6625210710769323	0.9048884957099266	1.0	1.0	0.8197308999487871	0.7388907479440601	1.0
