	labial:+;coronal:-;dorsal:-;front:0;round:-	labial:+;coronal:-;dorsal:-;front:0;round:-,+	labial:-;coronal:+;dorsal:-;front:0;round:0	labial:-;coronal:-;dorsal:+;front:-;round:0	labial:-;coronal:-;dorsal:+;front:-,+;round:0	labial:-,+;coronal:-;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+			tʼ	kʼ	kʲʼ	kʷʼ	4/6	0.7917354727680073
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b	bʷ	d	ɡ	ɡʲ	ɡʷ	6/6	1.0
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-			t	k	kʲ	kʷ	4/6	0.7461925429971293
	1/3	1/3	3/3	3/3	3/3	3/3
	0.3475091064556053	0.5129734133942809	1.0	1.0	1.0	1.0
