	labial:+;labiodental:-;coronal:-;dorsal:- | labial:+;labiodental:-;coronal:-;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;dorsal:- | labial:+;labiodental:+;coronal:-;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;dorsal:-;round:-,+	labial:-;labiodental:0;coronal:+;dorsal:-	labial:-;labiodental:0;coronal:-;dorsal:+ | labial:-;labiodental:0;coronal:+;dorsal:+;anterior:+;distributed:+;strident:+;front:+ | labial:-;labiodental:0;coronal:+;dorsal:+;anterior:-;distributed:+;strident:-;front:+ | labial:-;labiodental:0;coronal:+;dorsal:-,+;anterior:-;distributed:+;strident:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p	t	k	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f			1/3	0.1822505826489076
	2/2	1/2	1/2
	1.0	0.4936023152431098	0.7463088967653868
